1.08E+01,9.76E+00,9.60E+00,7.07E+00,7.32E+00,6.67E+00
9.93E+00,1.05E+01,9.59E+00,5.92E+00,6.38E+00,5.05E+00
1.19E+01,9.90E+00,9.92E+00,5.94E+00,4.48E+00,5.57E+00
1.14E+01,1.08E+01,1.22E+01,5.42E+00,6.74E+00,6.83E+00
1.23E+01,1.25E+01,9.45E+00,5.90E+00,7.15E+00,6.88E+00
9.84E+00,9.50E+00,9.02E+00,5.41E+00,5.63E+00,6.51E+00
1.03E+01,1.11E+01,1.02E+01,6.29E+00,5.22E+00,5.16E+00
1.00E+01,8.27E+00,1.06E+01,3.94E+00,5.01E+00,6.10E+00
9.34E+00,9.53E+00,1.09E+01,6.13E+00,6.21E+00,4.35E+00
1.00E+01,8.18E+00,1.06E+01,6.59E+00,5.35E+00,4.26E+00
9.81E+00,1.03E+01,9.82E+00,5.77E+00,6.57E+00,5.59E+00
9.50E+00,1.04E+01,1.05E+01,6.52E+00,7.96E+00,5.53E+00
9.05E+00,9.71E+00,9.90E+00,6.86E+00,7.91E+00,6.96E+00
9.86E+00,9.19E+00,8.67E+00,7.40E+00,6.04E+00,6.21E+00
9.65E+00,1.06E+01,9.24E+00,4.54E+00,5.84E+00,7.19E+00
8.91E+00,1.06E+01,9.16E+00,5.29E+00,6.72E+00,4.63E+00
1.00E+01,1.20E+01,9.25E+00,5.54E+00,5.13E+00,5.80E+00
9.99E+00,9.44E+00,9.59E+00,4.09E+00,6.03E+00,6.02E+00
1.00E+01,8.70E+00,1.00E+01,5.26E+00,7.47E+00,6.09E+00
8.35E+00,1.04E+01,8.31E+00,6.40E+00,6.51E+00,7.05E+00
1.09E+01,9.64E+00,9.12E+00,6.58E+00,6.06E+00,6.72E+00
1.16E+01,1.06E+01,9.24E+00,8.08E+00,6.84E+00,5.21E+00
1.16E+01,1.05E+01,1.17E+01,4.92E+00,5.96E+00,6.64E+00
1.10E+01,1.11E+01,9.77E+00,6.35E+00,4.30E+00,3.89E+00
8.82E+00,9.54E+00,1.06E+01,7.12E+00,4.61E+00,6.13E+00
