7.31E+00,9.80E+00,4.57E+00,7.83E+00
1.21E+01,9.71E+00,6.65E+00,7.40E+00
9.60E+00,9.02E+00,5.79E+00,7.04E+00
9.51E+00,1.04E+01,6.13E+00,6.75E+00
9.70E+00,9.75E+00,7.27E+00,6.72E+00
9.69E+00,9.84E+00,7.72E+00,8.37E+00
9.54E+00,9.62E+00,6.35E+00,5.62E+00
1.04E+01,1.14E+01,8.00E+00,7.56E+00
1.10E+01,1.10E+01,7.59E+00,6.67E+00
9.45E+00,1.03E+01,7.34E+00,6.76E+00
9.76E+00,8.92E+00,6.85E+00,8.47E+00
1.10E+01,9.17E+00,7.35E+00,6.95E+00
1.11E+01,9.46E+00,7.56E+00,8.41E+00
1.10E+01,9.31E+00,7.04E+00,6.72E+00
8.55E+00,1.16E+01,6.49E+00,5.44E+00
9.31E+00,8.70E+00,6.02E+00,7.28E+00
1.01E+01,1.13E+01,7.25E+00,6.27E+00
9.63E+00,8.63E+00,8.00E+00,7.93E+00
9.99E+00,9.59E+00,6.78E+00,7.88E+00
9.08E+00,1.01E+01,7.46E+00,5.07E+00
9.75E+00,1.16E+01,6.13E+00,6.11E+00
1.02E+01,9.64E+00,6.19E+00,7.22E+00
9.35E+00,1.04E+01,7.65E+00,6.85E+00
9.63E+00,9.93E+00,7.50E+00,9.13E+00
9.88E+00,1.02E+01,5.54E+00,8.00E+00
1.00E+01,9.16E+00,7.79E+00,6.74E+00
1.01E+01,1.10E+01,8.46E+00,7.93E+00
7.56E+00,1.02E+01,5.28E+00,6.42E+00
1.17E+01,9.37E+00,7.36E+00,6.02E+00
1.15E+01,1.13E+01,6.73E+00,6.73E+00
9.43E+00,1.11E+01,6.07E+00,6.44E+00
9.23E+00,1.06E+01,6.76E+00,8.55E+00
1.07E+01,1.01E+01,6.96E+00,5.94E+00
1.15E+01,1.05E+01,8.08E+00,7.54E+00
8.31E+00,9.69E+00,6.51E+00,7.60E+00
1.01E+01,1.07E+01,7.26E+00,6.87E+00
1.10E+01,1.12E+01,8.28E+00,7.01E+00
9.66E+00,8.78E+00,6.19E+00,7.18E+00
9.66E+00,1.16E+01,7.63E+00,5.96E+00
1.20E+01,1.16E+01,6.46E+00,7.50E+00
1.02E+01,9.61E+00,5.52E+00,7.55E+00
1.01E+01,9.77E+00,5.65E+00,7.22E+00
8.96E+00,9.44E+00,5.99E+00,7.02E+00
8.79E+00,1.04E+01,6.45E+00,6.05E+00
1.08E+01,1.13E+01,9.27E+00,7.33E+00
8.86E+00,1.30E+01,6.31E+00,7.57E+00
9.20E+00,1.12E+01,7.01E+00,4.95E+00
1.04E+01,9.06E+00,9.29E+00,6.48E+00
1.05E+01,1.14E+01,5.23E+00,7.99E+00
9.12E+00,1.18E+01,7.87E+00,8.07E+00
9.77E+00,9.26E+00,7.27E+00,6.41E+00
1.01E+01,1.04E+01,7.85E+00,7.15E+00
1.05E+01,1.16E+01,7.07E+00,5.15E+00
1.08E+01,1.11E+01,7.59E+00,5.71E+00
9.42E+00,1.01E+01,7.62E+00,7.39E+00
1.04E+01,9.30E+00,6.48E+00,6.59E+00
1.15E+01,9.70E+00,6.86E+00,7.05E+00
9.38E+00,1.02E+01,7.20E+00,7.29E+00
9.73E+00,9.91E+00,7.09E+00,8.77E+00
8.90E+00,9.35E+00,7.46E+00,7.83E+00
9.09E+00,1.06E+01,6.79E+00,5.58E+00
8.86E+00,1.04E+01,6.06E+00,7.33E+00
1.08E+01,8.44E+00,6.53E+00,6.64E+00
1.07E+01,1.06E+01,6.45E+00,7.41E+00
8.71E+00,1.09E+01,7.30E+00,7.29E+00
1.02E+01,9.50E+00,5.71E+00,7.65E+00
9.97E+00,1.09E+01,6.19E+00,7.25E+00
1.04E+01,1.07E+01,7.15E+00,6.18E+00
1.10E+01,1.14E+01,6.67E+00,7.11E+00
1.20E+01,9.31E+00,5.91E+00,6.10E+00
1.05E+01,1.15E+01,8.31E+00,5.10E+00
8.50E+00,8.81E+00,8.69E+00,7.77E+00
1.17E+01,1.25E+01,5.40E+00,7.77E+00
8.04E+00,1.10E+01,6.07E+00,6.83E+00
8.72E+00,1.14E+01,8.66E+00,7.05E+00
1.23E+01,9.59E+00,5.62E+00,7.07E+00
9.74E+00,1.08E+01,4.90E+00,6.24E+00
9.41E+00,8.90E+00,6.08E+00,4.60E+00
1.01E+01,9.33E+00,7.48E+00,7.82E+00
8.83E+00,9.63E+00,5.63E+00,7.84E+00
9.85E+00,1.11E+01,7.97E+00,7.45E+00
9.48E+00,9.45E+00,7.19E+00,8.29E+00
8.18E+00,1.03E+01,6.87E+00,7.37E+00
9.68E+00,1.15E+01,6.92E+00,5.73E+00
9.59E+00,9.95E+00,6.41E+00,5.98E+00
8.23E+00,9.70E+00,6.86E+00,8.20E+00
1.18E+01,9.59E+00,6.03E+00,6.04E+00
9.76E+00,8.70E+00,8.42E+00,6.88E+00
9.80E+00,1.07E+01,6.90E+00,8.67E+00
9.42E+00,9.92E+00,7.24E+00,8.12E+00
1.01E+01,8.64E+00,6.49E+00,6.68E+00
9.31E+00,1.01E+01,6.80E+00,5.64E+00
1.15E+01,1.01E+01,7.06E+00,8.16E+00
1.10E+01,9.24E+00,7.31E+00,6.20E+00
1.08E+01,1.14E+01,6.47E+00,7.78E+00
1.21E+01,9.78E+00,6.36E+00,5.42E+00
1.05E+01,9.71E+00,6.00E+00,7.27E+00
1.07E+01,9.86E+00,5.75E+00,7.07E+00
1.18E+01,1.02E+01,7.38E+00,6.25E+00
1.03E+01,1.09E+01,7.64E+00,7.84E+00
